target,participant_id,n_samples,accuracy,n_low_true,n_high_true,n_low_pred,n_high_pred,balanced_accuracy
Valence,3,3,0.6666666666666666,2,1,1,2,0.75
Valence,4,4,0.75,1,3,0,4,0.5
Valence,5,3,1.0,0,3,0,3,
Valence,13,2,0.5,1,1,0,2,0.5
Valence,14,2,1.0,1,1,1,1,1.0
Valence,15,4,1.0,1,3,1,3,1.0
Valence,16,4,0.75,1,3,2,2,0.8333333333333333
Valence,17,2,1.0,1,1,1,1,1.0
Valence,18,3,0.6666666666666666,1,2,2,1,0.75
Valence,19,4,1.0,1,3,1,3,1.0
Valence,20,4,0.75,2,2,3,1,0.75
Valence,21,3,1.0,1,2,1,2,1.0
Valence,22,2,1.0,0,2,0,2,
Valence,23,3,0.3333333333333333,1,2,1,2,0.25
Valence,24,3,0.6666666666666666,1,2,0,3,0.5
Valence,25,3,0.3333333333333333,1,2,3,0,0.5
Valence,26,3,0.6666666666666666,1,2,2,1,0.75
Valence,27,2,1.0,1,1,1,1,1.0
Valence,28,2,0.5,1,1,2,0,0.5
Valence,29,1,0.0,1,0,0,1,
Valence,30,4,0.5,1,3,1,3,0.3333333333333333
Valence,31,4,0.75,1,3,2,2,0.8333333333333333
Valence,32,3,0.3333333333333333,1,2,3,0,0.5
Valence,33,2,0.5,1,1,2,0,0.5
Valence,34,4,0.5,1,3,3,1,0.6666666666666666
Valence,35,2,0.5,1,1,0,2,0.5
Valence,36,3,0.6666666666666666,1,2,0,3,0.5
Valence,37,4,0.75,1,3,2,2,0.8333333333333333
Valence,38,4,0.5,1,3,3,1,0.6666666666666666
Valence,39,4,0.5,1,3,1,3,0.3333333333333333
Valence,40,2,1.0,1,1,1,1,1.0
Valence,41,1,1.0,1,0,1,0,
Valence,42,4,0.5,1,3,3,1,0.6666666666666666
Valence,43,3,0.6666666666666666,1,2,2,1,0.75
Valence,44,3,1.0,0,3,0,3,
Valence,45,3,0.6666666666666666,1,2,0,3,0.5
Valence,46,4,0.75,1,3,0,4,0.5
Valence,47,2,0.5,0,2,1,1,
Valence,48,3,1.0,1,2,1,2,1.0
Valence,49,3,0.6666666666666666,1,2,2,1,0.75
Valence,50,3,1.0,0,3,0,3,
Valence,51,4,0.75,1,3,2,2,0.8333333333333333
Valence,52,4,0.5,1,3,1,3,0.3333333333333333
Valence,53,4,0.75,1,3,0,4,0.5
Valence,54,3,0.6666666666666666,1,2,2,1,0.75
Valence,55,3,1.0,1,2,1,2,1.0
Valence,56,1,0.0,1,0,0,1,
Valence,57,4,0.5,1,3,1,3,0.3333333333333333
Valence,58,4,0.5,1,3,1,3,0.3333333333333333
Valence,59,4,0.75,1,3,0,4,0.5
Valence,60,4,0.75,1,3,0,4,0.5
Valence,61,4,0.75,1,3,0,4,0.5
Valence,62,4,0.75,1,3,2,2,0.8333333333333333
Valence,63,4,0.75,0,4,1,3,
Valence,64,2,0.5,1,1,0,2,0.5
Valence,65,3,0.6666666666666666,1,2,0,3,0.5
Valence,66,4,0.5,1,3,3,1,0.6666666666666666
Valence,67,2,0.5,1,1,2,0,0.5
Valence,68,3,0.6666666666666666,1,2,0,3,0.5
Valence,69,4,0.75,1,3,2,2,0.8333333333333333
Valence,70,4,0.75,1,3,0,4,0.5
Valence,71,4,1.0,1,3,1,3,1.0
Valence,72,2,0.5,0,2,1,1,
Valence,73,4,0.5,1,3,3,1,0.6666666666666666
Valence,74,4,0.75,1,3,0,4,0.5
Valence,75,4,0.5,1,3,3,1,0.6666666666666666
Valence,76,2,1.0,1,1,1,1,1.0
Valence,77,3,1.0,1,2,1,2,1.0
Valence,78,4,0.5,1,3,3,1,0.6666666666666666
Valence,79,3,0.3333333333333333,1,2,1,2,0.25
Valence,80,2,0.5,0,2,1,1,
Valence,81,4,0.75,1,3,2,2,0.8333333333333333
Valence,82,4,0.75,1,3,2,2,0.8333333333333333
Valence,83,1,1.0,1,0,1,0,
Valence,84,4,0.25,1,3,4,0,0.5
Valence,85,4,1.0,1,3,1,3,1.0
Valence,86,2,0.5,1,1,2,0,0.5
Valence,87,3,0.6666666666666666,1,2,2,1,0.75
Valence,88,4,0.5,1,3,3,1,0.6666666666666666
Valence,89,4,1.0,1,3,1,3,1.0
Valence,90,2,0.5,1,1,2,0,0.5
Valence,91,4,0.75,1,3,2,2,0.8333333333333333
Valence,92,3,0.6666666666666666,1,2,2,1,0.75
Valence,93,3,1.0,1,2,1,2,1.0
Valence,94,4,0.75,1,3,0,4,0.5
Valence,95,3,0.6666666666666666,1,2,0,3,0.5
Valence,96,4,0.5,1,3,3,1,0.6666666666666666
Valence,97,3,0.6666666666666666,1,2,2,1,0.75
Valence,98,3,0.3333333333333333,1,2,3,0,0.5
Valence,99,4,0.75,1,3,2,2,0.8333333333333333
Valence,100,3,1.0,1,2,1,2,1.0
Valence,101,1,1.0,0,1,0,1,
Valence,102,2,1.0,0,2,0,2,
Valence,103,3,1.0,1,2,1,2,1.0
Valence,104,3,1.0,1,2,1,2,1.0
Valence,105,4,0.75,1,3,0,4,0.5
Arousal,3,4,0.25,2,2,3,1,0.25
Arousal,4,1,1.0,0,1,0,1,
Arousal,5,4,0.25,1,3,4,0,0.5
Arousal,13,4,0.5,1,3,1,3,0.3333333333333333
Arousal,14,1,0.0,1,0,0,1,
Arousal,15,3,0.6666666666666666,1,2,0,3,0.5
Arousal,16,4,0.75,2,2,3,1,0.75
Arousal,17,4,0.5,2,2,0,4,0.5
Arousal,18,3,0.6666666666666666,1,2,0,3,0.5
Arousal,19,1,0.0,1,0,0,1,
Arousal,20,2,1.0,0,2,0,2,
Arousal,21,3,0.3333333333333333,1,2,3,0,0.5
Arousal,22,1,1.0,0,1,0,1,
Arousal,23,3,0.6666666666666666,2,1,1,2,0.75
Arousal,24,2,0.0,0,2,2,0,
Arousal,25,3,0.6666666666666666,3,0,2,1,
Arousal,26,2,0.0,0,2,2,0,
Arousal,27,2,0.0,1,1,1,1,0.0
Arousal,28,3,0.6666666666666666,2,1,3,0,0.5
Arousal,29,2,0.0,2,0,0,2,
Arousal,30,2,0.5,1,1,0,2,0.5
Arousal,31,4,1.0,1,3,1,3,1.0
Arousal,32,3,0.6666666666666666,1,2,0,3,0.5
Arousal,33,4,1.0,3,1,3,1,1.0
Arousal,34,1,1.0,1,0,1,0,
Arousal,35,2,0.5,1,1,0,2,0.5
Arousal,36,3,1.0,2,1,2,1,1.0
Arousal,37,2,0.5,2,0,1,1,
Arousal,38,2,0.5,1,1,2,0,0.5
Arousal,39,1,0.0,0,1,1,0,
Arousal,40,2,0.5,1,1,0,2,0.5
Arousal,41,4,0.75,3,1,2,2,0.8333333333333333
Arousal,42,1,1.0,1,0,1,0,
Arousal,43,3,1.0,1,2,1,2,1.0
Arousal,44,3,0.3333333333333333,0,3,2,1,
Arousal,45,3,0.6666666666666666,1,2,2,1,0.75
Arousal,46,3,1.0,0,3,0,3,
Arousal,47,2,0.5,1,1,0,2,0.5
Arousal,48,3,0.3333333333333333,2,1,2,1,0.25
Arousal,49,3,0.6666666666666666,1,2,2,1,0.75
Arousal,50,3,0.3333333333333333,1,2,1,2,0.25
Arousal,51,1,0.0,0,1,1,0,
Arousal,52,3,0.6666666666666666,1,2,2,1,0.75
Arousal,53,2,0.5,2,0,1,1,
Arousal,54,1,1.0,1,0,1,0,
Arousal,55,3,0.6666666666666666,1,2,2,1,0.75
Arousal,56,4,0.25,3,1,0,4,0.5
Arousal,58,2,1.0,2,0,2,0,
Arousal,59,3,0.3333333333333333,1,2,1,2,0.25
Arousal,60,3,0.3333333333333333,0,3,2,1,
Arousal,61,3,1.0,1,2,1,2,1.0
Arousal,62,3,0.0,1,2,2,1,0.0
Arousal,63,4,0.25,0,4,3,1,
Arousal,64,3,0.6666666666666666,1,2,0,3,0.5
Arousal,65,2,0.5,1,1,2,0,0.5
Arousal,66,3,0.6666666666666666,0,3,1,2,
Arousal,67,3,0.6666666666666666,2,1,1,2,0.75
Arousal,68,4,0.5,4,0,2,2,
Arousal,69,4,0.75,1,3,2,2,0.8333333333333333
Arousal,70,3,0.6666666666666666,3,0,2,1,
Arousal,71,3,0.6666666666666666,1,2,2,1,0.75
Arousal,72,1,0.0,0,1,1,0,
Arousal,73,2,0.0,1,1,1,1,0.0
Arousal,74,1,0.0,1,0,0,1,
Arousal,75,2,0.0,1,1,1,1,0.0
Arousal,76,1,1.0,1,0,1,0,
Arousal,77,2,0.5,1,1,0,2,0.5
Arousal,78,4,0.75,1,3,2,2,0.8333333333333333
Arousal,79,3,0.6666666666666666,1,2,2,1,0.75
Arousal,80,4,0.75,0,4,1,3,
Arousal,81,3,0.0,1,2,2,1,0.0
Arousal,82,3,1.0,1,2,1,2,1.0
Arousal,83,3,0.6666666666666666,3,0,2,1,
Arousal,84,3,0.6666666666666666,2,1,1,2,0.75
Arousal,85,2,0.5,1,1,0,2,0.5
Arousal,86,3,0.6666666666666666,3,0,2,1,
Arousal,87,2,1.0,2,0,2,0,
Arousal,88,3,0.6666666666666666,1,2,2,1,0.75
Arousal,89,2,0.5,1,1,0,2,0.5
Arousal,90,3,0.3333333333333333,3,0,1,2,
Arousal,91,3,1.0,0,3,0,3,
Arousal,92,3,0.3333333333333333,1,2,3,0,0.5
